Date;Open;ClosingPrice;DailyHigh;DailyLow;VolumePcs
13.05.2019;226,51000;224,22000;228,67000;224,15000;47092220
10.05.2019;227,00000;227,00000;229,49000;226,11000;44398820
08.05.2019;231,03000;230,00000;232,50000;229,50000;42299640
07.05.2019;232,70000;231,49000;234,34000;230,26000;46520740
06.05.2019;228,75000;232,80000;232,80000;227,00000;48493800
03.05.2019;229,70000;232,52000;233,00000;228,55000;47635490
02.05.2019;226,00000;229,10000;229,84000;225,85000;36536970
30.04.2019;229,01000;225,17000;229,02000;223,81000;63461350
29.04.2019;223,70000;228,80000;229,09000;223,05000;48833240
26.04.2019;227,46000;223,18000;227,47000;222,08000;94128120
25.04.2019;235,68000;227,80000;236,00000;227,80000;100809150
24.04.2019;235,00000;236,00000;236,47000;233,94000;43619460
23.04.2019;236,00000;235,67000;237,56000;234,16000;56873940
22.04.2019;233,70000;235,41000;236,09000;233,05000;44282380
19.04.2019;233,49000;232,60000;233,50000;231,90000;12300520
18.04.2019;233,83000;232,79000;234,11000;230,84000;55729500
17.04.2019;234,50000;234,30000;235,75000;232,00000;70239480
16.04.2019;239,00000;233,24000;239,50000;232,32000;86433710
15.04.2019;240,35000;237,80000;242,30000;237,06000;47884980
12.04.2019;240,00000;239,50000;243,15000;237,00000;96227220
11.04.2019;244,40000;238,86000;247,23000;238,86000;105413510
10.04.2019;239,00000;243,68000;245,25000;237,94000;129370870
09.04.2019;233,50000;238,00000;238,90000;232,39000;117431200
08.04.2019;227,93000;232,30000;232,30000;227,90000;70857870
05.04.2019;222,60000;227,50000;227,70000;222,03000;78052850
04.04.2019;218,49000;221,80000;221,85000;218,01000;51964100
03.04.2019;220,10000;219,05000;224,16000;218,88000;92738080
02.04.2019;218,75000;218,23000;219,32000;216,80000;49230090
01.04.2019;215,05000;217,70000;218,11000;215,01000;51803650
29.03.2019;215,99000;214,42000;218,19000;214,40000;85814090
28.03.2019;214,15000;215,07000;215,95000;213,72000;47565550
27.03.2019;218,20000;214,10000;219,25000;214,10000;71996140
26.03.2019;214,70000;218,00000;218,46000;213,13000;81466100
25.03.2019;206,63000;214,00000;214,20000;205,55000;108111450
22.03.2019;210,61000;207,70000;211,29000;206,70000;49421400
21.03.2019;210,25000;210,61000;212,29000;209,77000;67037150
20.03.2019;207,60000;209,80000;209,84000;206,40000;55535200
19.03.2019;206,40000;207,70000;208,31000;205,93000;47791920
18.03.2019;204,25000;205,90000;206,14000;204,11000;40854520
15.03.2019;204,20000;203,55000;204,95000;203,55000;35953260
14.03.2019;205,60000;203,66000;206,38000;203,50000;43879390
